========== THREADING <Thread(Thread-11 (getAllPesertaKelas), stopped 139888921912896)> COMPLETE ==========
Time taken : 1305.56 seconds
Scrapping Student Course 15 kode PTS114
Scrapping Student Course 26 kode TAR116
Scrapping Student Course 11 kode TPWP05
Scrapping Student Course 13 kode TMS302
Scrapping Student Course 11 kode TPB518
Scrapping Student Course 12 kode TEK310
Scrapping Student Course 12 kode TIK520
Scrapping Student Course 12 kode TLE302
Scrapping Student Course 12 kode TIU308
Scrapping Student Course 11 kode TGUP02
Scrapping Student Course 11 kode TGL314
Scrapping Student Course 11 kode TPB522
Scrapping Student Course 11 kode TPWP06
Scrapping Student Course 27 kode TAR116
Scrapping Student Course 13 kode TEK310
Scrapping Student Course 16 kode PTS114
Scrapping Student Course 11 kode TGL316
Scrapping Student Course 14 kode TMS302
Scrapping Student Course 11 kode TIK522
Scrapping Student Course 11 kode TLE303
Scrapping Student Course 13 kode TIU308
Scrapping Student Course 11 kode TPWP07
Scrapping Student Course 11 kode PTS116
Scrapping Student Course 12 kode TGL316
Scrapping Student Course 11 kode TMS304
Scrapping Student Course 28 kode TAR116
Scrapping Student Course 12 kode TIK522
Scrapping Student Course 11 kode TPB524
Scrapping Student Course 11 kode TIU310
Scrapping Student Course 11 kode TEK312
Scrapping Student Course 12 kode TLE303
Scrapping Student Course 12 kode TMS304
Scrapping Student Course 11 kode TIK524
Scrapping Student Course 11 kode TPB526
Scrapping Student Course 11 kode TPWP08
Scrapping Student Course 11 kode TGL504
Scrapping Student Course 29 kode TAR116
Scrapping Student Course 13 kode PTS116
Scrapping Student Course 12 kode TIU310
Scrapping Student Course 12 kode TEK312
Scrapping Student Course 11 kode TLE304
Scrapping Student Course 12 kode TIK524
Scrapping Student Course 11 kode TPB528
Scrapping Student Course 11 kode TPWP09
Scrapping Student Course 12 kode TLE304
Scrapping Student Course 13 kode TIU310
Scrapping Student Course 13 kode TMS304
Scrapping Student Course 30 kode TAR116
Scrapping Student Course 14 kode PTS116
Scrapping Student Course 13 kode TEK312
Scrapping Student Course 11 kode TGL506
Scrapping Student Course 11 kode TGL508
Scrapping Student Course 11 kode TIK526
Scrapping Student Course 14 kode TMS304
Scrapping Student Course 11 kode TIU312
Scrapping Student Course 11 kode TLE305
Scrapping Student Course 11 kode TPB530
Scrapping Student Course 31 kode TAR116
Scrapping Student Course 11 kode TPWP10
Scrapping Student Course 15 kode PTS116
Scrapping Student Course 11 kode TGL510
Scrapping Student Course 11 kode TEK314
Scrapping Student Course 12 kode TIK526
Scrapping Student Course 16 kode PTS116
Scrapping Student Course 11 kode TMS306
Scrapping Student Course 32 kode TAR116
Scrapping Student Course 12 kode TEK314
Scrapping Student Course 11 kode TGL514
Scrapping Student Course 11 kode TGL530
Scrapping Student Course 12 kode TIU312
Scrapping Student Course 12 kode TLE305
Scrapping Student Course 11 kode TPWP11
Scrapping Student Course 11 kode TPB532
Scrapping Student Course 12 kode TMS306
Scrapping Student Course 13 kode TEK314
Scrapping Student Course 11 kode TLE309
Scrapping Student Course 11 kode TIK528
Scrapping Student Course 11 kode PTS202
Scrapping Student Course 11 kode TPWP12
Scrapping Student Course 13 kode TIU312
Scrapping Student Course 33 kode TAR116
Scrapping Student Course 11 kode TPB534
Scrapping Student Course 11 kode TGLP01
Scrapping Student Course 11 kode TEK316
Scrapping Student Course 12 kode TLE309
Scrapping Student Course 12 kode PTS202
Scrapping Student Course 11 kode TIK530
Scrapping Student Course 13 kode TMS306
Scrapping Student Course 11 kode TIU314
Scrapping Student Course 34 kode TAR116
Scrapping Student Course 11 kode TPWP13
Scrapping Student Course 11 kode TGLP02
Scrapping Student Course 11 kode TPB536
Scrapping Student Course 11 kode TPB538
Scrapping Student Course 11 kode TEK318
Scrapping Student Course 11 kode TPWP14
Scrapping Student Course 11 kode TLE311
Scrapping Student Course 13 kode PTS202
Scrapping Student Course 12 kode TIU314
Scrapping Student Course 14 kode TMS306
Scrapping Student Course 11 kode TIK532
Scrapping Student Course 11 kode TGLP12
Scrapping Student Course 35 kode TAR116
Scrapping Student Course 11 kode TPB540
Scrapping Student Course 11 kode TPWP15
Scrapping Student Course 11 kode TGLP16
Scrapping Student Course 12 kode TLE311
Scrapping Student Course 11 kode TAR212
Scrapping Student Course 11 kode TEK320
Scrapping Student Course 11 kode TMS308
Scrapping Student Course 11 kode TPB542
Scrapping Student Course 13 kode TIU314
Scrapping Student Course 14 kode PTS202
Scrapping Student Course 12 kode TIK532
Scrapping Student Course 11 kode TGLP18
Scrapping Student Course 11 kode TPWP16
Scrapping Student Course 12 kode TAR212
Scrapping Student Course 11 kode TLE313
Scrapping Student Course 12 kode TMS308
Scrapping Student Course 11 kode TIUP01
Scrapping Student Course 11 kode TEK322
Scrapping Student Course 15 kode PTS202
Scrapping Student Course 11 kode TPB544
Scrapping Student Course 11 kode TIKP01
Scrapping Student Course 11 kode TEK324
